R,ET,EV,EJ,EX,EN,E_TOTAL
0.5,1.428359932897721,-4.600746155788427,1.5145007608303138,-0.6482011803922169,2.0,-0.3060866424526085
0.6,1.396902583219238,-4.493325008827516,1.499471115893347,-0.6419646254469904,1.6666666666666667,-0.5722492684952549
0.7,1.3660245169725598,-4.385111924343673,1.4832667574785119,-0.6351729154567622,1.4285714285714286,-0.7424221367779349
0.8,1.3365230903179877,-4.278307555015097,1.466121092336796,-0.6279808178358184,1.25,-0.8536441901961318
0.9,1.3089596477971221,-4.1744304503243,1.4480514095065773,-0.6205247993983773,1.1111111111111112,-0.926833081307866
1.0,1.283717068760349,-4.074502077419892,1.4291756130528304,-0.6129238016849,1.0,-0.9745331972916125
1.1,1.2610426548383076,-3.9791818073912966,1.4096762440829067,-0.6052806467101305,0.9090909090909091,-1.0046526460893035
1.2000000000000002,1.2410801778286726,-3.8888654873428634,1.3897488659867758,-0.5976836493467772,0.8333333333333333,-1.0223867595408591
1.3,1.2238939270807716,-3.8037575029761515,1.3695751966667622,-0.590208213054172,0.7692307692307692,-1.0312658230520206
1.4,1.2094868606378342,-3.7239235268465483,1.3493142108099623,-0.582918291468409,0.7142857142857143,-1.0337550325814462
1.5,1.1978144175379153,-3.649329181416937,1.3291021413024677,-0.5758676722602396,0.6666666666666666,-1.0316136281701271
1.6,1.1887951427963213,-3.579868422173361,1.3090558768810658,-0.5691010742968852,0.625,-1.026118476792859
1.7000000000000002,1.1823189752173917,-3.5153844146182474,1.2892769607533552,-0.5626550717570697,0.588235294117647,-1.0182082562869232
1.8,1.1782538238359155,-3.455684930446098,1.269854885095383,-0.556558870643922,0.5555555555555556,-1.0085795366031662
1.9000000000000001,1.1764508911670521,-3.400553743481021,1.250869250863923,-0.5508349659209305,0.5263157894736842,-0.9977527778972924
2.0,1.176749075737802,-3.3497591081453777,1.2323909148213703,-0.5454997069144821,0.5,-0.9861188245006876
2.1,1.1789786918652985,-3.3030601116181915,1.2144824478262861,-0.5405637986243637,0.47619047619047616,-0.9739722943604946
2.2,1.1829646736130426,-3.2602114763228247,1.19719814500583,-0.5360327608228763,0.45454545454545453,-0.9615359639813736
2.3,1.188529376723278,-3.2209672311415587,1.1805837096875351,-0.5319073694336245,0.4347826086956522,-0.948978905468718
2.4000000000000004,1.1954950530419455,-3.1850835528788233,1.1646757356296615,-0.5281840735949563,0.41666666666666663,-0.936430171135506
2.5,1.2036860435300127,-3.1523209932594676,1.1495011775127626,-0.5248554348497919,0.4,-0.923989207066484
2.6,1.2129307161223222,-3.1224462433896805,1.1350770197612994,-0.5219105550292006,0.3846153846153846,-0.9117336779198748
2.7,1.2230631616703462,-3.095233541451135,1.1214103049000457,-0.519335516047843,0.37037037037037035,-0.8997252205582157
2.8000000000000003,1.2339246535340767,-3.070465796242566,1.1084985982150541,-0.5171138280490033,0.3571428571428571,-0.8880135153995815
2.9000000000000004,1.2453648728422217,-3.047935475867321,1.0963308771019127,-0.5152268762767792,0.3448275862068965,-0.8766390159930693
3.0,1.2572429009571122,-3.0274452949728325,1.0848887586989797,-0.5136543617733159,0.3333333333333333,-0.8656346637567232
