R,E1_HF,mEJ,EN,E_TOTAL
0.5,-0.14338470123007774,-1.5145007608303138,2.0,0.34211453793960844
0.6,-0.09748019382158413,-1.499471115893347,1.6666666666666667,0.0697153569517357
0.7,-0.052553892414089365,-1.4832667574785119,1.4285714285714286,-0.10724922132117265
0.8,-0.009542280023517424,-1.466121092336796,1.25,-0.22566337236031342
0.9,0.030632016485977243,-1.4480514095065773,1.1111111111111112,-0.3063082819094889
1.0,0.0675662174461178,-1.4291756130528304,1.0,-0.36160939560671257
1.1,0.10121333561282464,-1.4096762440829067,0.9090909090909091,-0.399371999379173
1.2000000000000002,0.13171242245936066,-1.3897488659867758,0.8333333333333333,-0.4247031101940819
1.3,0.15928681743814455,-1.3695751966667622,0.7692307692307692,-0.4410576099978485
1.4,0.1841917554112107,-1.3493142108099623,0.7142857142857143,-0.4508367411130373
1.5,0.20668951872591368,-1.3291021413024677,0.6666666666666666,-0.4557459559098874
1.6,0.22703847438509195,-1.3090558768810658,0.625,-0.4570174024959739
1.7000000000000002,0.24548848210585472,-1.2892769607533552,0.588235294117647,-0.4555531845298535
1.8,0.26227866358058316,-1.269854885095383,0.5555555555555556,-0.4520206659592443
1.9000000000000001,0.277635649413877,-1.250869250863923,0.5263157894736842,-0.4469178119763618
2.0,0.2917717972351648,-1.2323909148213703,0.5,-0.44061911758620553
2.1,0.304883475899679,-1.2144824478262861,0.47619047619047616,-0.43340849573613094
2.2,0.3171494873018781,-1.19719814500583,0.45454545454545453,-0.4255032031584974
2.3,0.3287295649567894,-1.1805837096875351,0.4347826086956522,-0.4170715360350935
2.4000000000000004,0.33976297142244527,-1.1646757356296615,0.41666666666666663,-0.40824609754054964
2.5,0.35036740529607036,-1.1495011775127626,0.4,-0.3991337722166922
2.6,0.36063851225524046,-1.1350770197612994,0.3846153846153846,-0.38982312289067433
2.7,0.37065023001930264,-1.1214103049000457,0.37037037037037035,-0.3803897045103727
2.8000000000000003,0.38045605372161884,-1.1084985982150541,0.3571428571428571,-0.3708996873505782
2.9000000000000004,0.39009115117872617,-1.0963308771019127,0.3448275862068965,-0.36141213971629
3.0,0.3995751233822391,-1.0848887586989797,0.3333333333333333,-0.3519803019834073
